name,en_name,total,male,female
北京,Beijing,18.49475,9.41325,9.0815
天津,Tianjin,11.27589,5.81562,5.46027
河北,Hebei,70.3762,35.54766,34.82854
山西,Shaanxi,34.77805,17.71808,17.05997
内蒙古,Inner Mongol,23.10941,11.86071,11.2487
辽宁,Liaoning,42.52076,21.38602,21.13474
吉林,Jilin,25.51123,12.87411,12.63712
黑龙江,Heilongjiang,34.65051,17.49344,17.15707
上海,Shanghai,22.53525,11.51331,11.02194
江苏,Jiangsu,75.77122,37.92269,37.84853
浙江,Zhejiang,54.00348,27.61136,26.39212
安徽,Anhui,53.12628,26.78455,26.34173
福建,Fujian,34.77491,17.73098,17.04393
江西,Jiangxi,42.51692,21.88051,20.63641
山东,Shandong,92.72503,46.63609,46.08894
河南,Henan,92.24288,46.50716,45.73572
湖北,Hubei,52.26904,26.58892,25.68012
湖南,Hunan,60.96586,31.14294,29.82292
广东,Guangdong,96.76589,50.23631,46.52958
广西,Guangxi,43.62551,22.49997,21.12554
海南,Hainan,8.2656,4.32579,3.93981
重庆,Chongqing,26.09882,13.10663,12.99219
四川,Sichuan,81.61604,41.20256,40.41348
贵州,Guizhou,33.32265,17.144,16.17865
云南,Yunnan,44.67537,23.00361,21.67176
西藏,Xizang,2.65904,1.34009,1.31895
陕西,Shanxi,36.14887,18.48641,17.66246
甘肃,Gansu,26.23094,13.30609,12.92485
青海,Qinghai,5.35412,2.73891,2.61521
宁夏,Ningxia,6.11957,3.11355,3.00602
新疆,Xinjiang,20.86576,10.61322,10.25254
香港,Xianggang,7.2348,3.3427,3.8921
澳门,Macau,0.624,0.3072,0.3168
台湾,Taiwan,23.22491,11.64567,11.57923
